a,b,c,d,e,sse,sae,2,4,8,16,32,64,128,250,500,1000
-1.4022788429276245,-2.498820795801977,-0.5939918637485144,2.2774175124425478,-0.43113678571610414,28680475770.23262,627016.7577231725,26,28,44,88,108,79,32,3,0,0
-4.074118673584319,89.8186025462297,-4.167707094082247,4.2820500627504074,0.4088156444258386,30077501183.067917,576716.2755201218,17,17,21,27,12,6,0,0,0,0
-2.4213719278139143,43.51136240896429,2.7228750422345342,1.5030106452970635,0.4466711333728899,30214047846.999878,662632.3511412992,7,26,41,55,53,29,8,0,0,0
-4.923022831639344,57.57820791403875,-0.5393428489271832,-3.0665006914374136,-0.4370034805567924,31222503866.91926,634556.903265372,11,26,47,47,40,19,3,1,0,0
-3.369672414677228,93.11466233232814,2.010683883938648,0.592945152143356,-0.4774363081916233,31362036293.89614,676184.0594984377,19,23,29,23,20,4,1,0,0,0
-1.5923682998863011,57.05958843270765,3.0588274591577633,4.575744802475292,-0.42194295274054294,32966798598.547516,600309.3748293034,6,26,32,45,47,17,6,0,0,0
2.2837227134690883,73.82405706859208,2.7561114333863044,-4.539370624823675,0.406926624040028,33345448024.285686,610290.5753603411,19,27,31,22,12,7,0,0,0,0
1.4295992188445448,75.95454066207097,4.90257295463201,-0.8595112092887689,-0.5046677853837158,34053282444.654022,699691.6546911361,19,11,42,40,27,12,1,0,0,0
-2.461054520279867,87.10320557951013,-3.9737018197117493,1.3081032993021022,0.5015996091323114,34625543958.53137,705371.1492500363,13,15,24,25,24,8,2,0,0,0
-1.9099343111507592,68.91248148693202,2.5082026923147396,3.451086073819001,0.45128688955811214,34913887620.72455,669122.206319462,18,20,31,25,20,7,0,0,0,0
-3.184962736968997,35.70571612853513,1.3729196620612694,-1.7623455524357268,-0.4990004089828606,35874681269.75051,712748.3389653743,12,23,40,68,88,63,28,2,0,0
3.1952426711736575,89.91244856477688,4.713325375054648,3.5778024291501502,0.45109325314218207,36239861693.014984,682351.4117944657,14,15,21,18,3,0,0,0,0,0
1.1606947539338455,35.210414377945234,1.1636298024413518,-3.4378394813598256,-0.4790559397706895,36990614089.53394,686415.8383987148,20,32,41,71,53,22,6,1,0,0
-1.3882622938806968,5.3760021725899385,-0.3712243729513709,0.5139875148103776,0.5141525385048205,37233534507.080956,740863.9714032314,23,27,68,93,85,67,28,2,0,0
1.1371139565209099,34.67723513625542,-1.9533150929319354,-2.9316282646747394,0.496357405497867,37692884981.93883,707713.7188100142,20,26,44,75,73,42,9,0,0,0
0.469310814440532,79.99352209597198,-0.4077091608820016,-3.227324516395443,0.4858478347801114,37758339436.83098,702978.4047002947,19,21,18,24,15,6,2,0,0,0
4.32320841429005,56.79993940600564,-1.2569295708167605,-4.811429004759153,0.45151878585173666,38331363787.6461,653501.665931521,24,29,32,44,35,17,3,0,0,0
-3.5691672727747745,80.76339190292163,1.4778516492948581,-1.0569906127594484,-0.5261094730030678,38774779912.89441,749972.7938059618,15,23,39,25,25,6,1,0,0,0
-0.48675884692374805,39.33690174657444,-2.2866239334016516,-1.8476414322787802,-0.5093384218856123,39064541546.91161,748337.6521675509,12,33,57,62,67,37,11,0,0,0
3.9075534888603407,51.77073357771912,-2.6110901685558865,0.736008424942626,0.5361870931451485,39660716037.134315,761734.3062188391,20,40,44,50,59,28,14,0,0,0
-0.8482255335115916,66.82597126193689,-3.6693142423889133,4.490129727887814,0.48559201522502704,40507220407.33273,687344.2295053722,17,23,36,28,29,11,1,0,0,0
