a,b,sse,sae,2,4,8,16,32,64,128,250,500,1000
2.504169858452613,12.634953405905037,541.8281422971409,149.03308964210652,17,46,79,139,291,610,1235,2406,4935,9815
2.97509052631861,-9.688858780981647,15615.79233100923,766.2432100202475,16,37,95,129,271,473,870,1357,1622,33
1.4930517719345744,34.37078673829495,32210.792381705298,1040.2022562700931,20,41,60,125,232,404,659,834,633,2
4.598167219834352,29.300728084123136,42166.136607469496,1078.1090161436755,11,37,70,150,214,406,645,790,650,44
-0.2240290360113022,7.778590480955955,42653.88373478917,1145.313604643791,27,44,78,142,281,443,708,1005,1051,96
5.940905307171505,-5.789458184537025,76928.47138004565,1509.4672465294354,14,46,60,113,227,359,540,583,382,5
-1.22835300997491,7.2097938283155685,79920.93516213933,1567.6984703611467,17,26,65,145,238,328,468,495,183,0
5.304210304045043,-25.104670470713558,92825.30822880751,1592.9282820357298,17,40,45,114,205,308,324,322,154,4
1.1879966809282791,-36.32864932029665,94122.70896842453,1858.4746221321625,10,34,72,110,163,200,262,154,40,0
-0.47492752091248747,44.01701205796536,101073.948624053,1662.1704033559995,14,38,75,102,186,283,314,276,81,0
1.835583168027739,59.67123647258035,107804.46386279663,2077.5206953757943,16,40,51,86,127,181,146,83,11,0
0.97497859642111,58.12994868606734,112313.2883888052,2014.3278961287606,20,31,56,103,143,169,158,73,13,0
-1.8504337244586537,19.019866423600433,112753.11706082585,1851.1788940438846,20,36,66,120,240,260,360,259,60,1
1.6654332071265117,62.12334436444027,119703.59831532258,2178.0571189420507,11,36,51,82,123,132,107,41,2,0
0.8334175914742445,-41.86850976133263,122034.64904498961,2085.608900214639,13,44,61,91,126,192,141,85,9,0
5.439242392415949,-34.51446750430517,127222.56129900512,1879.160460032199,22,37,70,113,141,206,211,102,7,0
-0.7396626184602155,-31.653681615028617,128005.27066261513,1871.6129716492117,13,44,62,101,168,239,243,172,50,0
6.903178415467863,33.00160961770973,134906.17394333595,1981.257287827274,20,44,74,112,184,284,295,265,59,0
6.530671752084302,-27.33324866256372,147378.15009071212,2020.4534027765305,18,27,59,103,160,220,204,101,16,0
3.1417278132160646,70.12153347189721,155533.33173731042,2505.9828723477854,12,28,49,90,97,89,42,14,0,0
6.929533892998776,-26.532033715901207,164386.76494245642,2145.5223679338947,22,36,75,102,165,200,174,74,10,0
-1.23122552410004,56.88825875576154,173937.23044614252,2182.250007256448,20,26,58,84,114,132,92,28,0,0
